RoundNumber,RoomTemperatureUpperLimit1
0,30.2
1,30.2
2,30.2
3,30.2
4,30.2
5,30.2
6,30.2
7,30.2
8,30.2
9,30.2
10,30.2
11,30.2
12,30.2
13,30.2
14,30.2
15,30.2
16,30.2
17,30.2
18,30.2
19,30.2
20,30.2
21,30.2
22,30.2
23,30.2
24,30.2
25,30.2
26,30.2
27,30.2
28,30.2
29,30.2
30,30.2
31,30.2
32,30.2
33,30.2
34,30.2
35,30.2
36,30.2
37,30.2
38,30.2
39,30.2
40,30.2
41,30.2
42,30.2
43,30.2
44,30.2
45,30.2
46,30.2
47,30.2
48,30.2
49,30.2
50,30.2
51,30.2
52,30.2
53,30.2
54,30.2
55,30.2
56,30.2
57,30.2
58,30.2
59,30.2
60,30.2
61,30.2
62,30.2
63,30.2
64,30.2
65,30.2
66,30.2
67,30.2
68,30.2
69,30.2
70,30.2
71,30.2
72,30.2
73,30.2
74,30.2
75,30.2
76,30.2
77,30.2
78,30.2
79,30.2
80,30.2
81,30.2
82,30.2
83,30.2
84,30.2
85,30.2
86,30.2
87,30.2
88,30.2
89,30.2
90,30.2
91,30.2
92,30.2
93,30.2
94,30.2
95,30.2
96,30.2
97,30.2
98,30.2
99,30.2
100,30.2
101,30.2
102,30.2
103,30.2
104,30.2
105,30.2
106,30.2
107,30.2
108,30.2
109,30.2
110,30.2
111,30.2
112,30.2
113,30.2
114,30.2
115,30.2
116,30.2
117,30.2
118,30.2
119,30.2
120,30.2
121,30.2
122,30.2
123,30.2
124,30.2
125,30.2
126,30.2
127,30.2
128,30.2
129,30.2
130,30.2
131,30.2
132,30.2
133,30.2
134,30.2
135,30.2
136,30.2
137,30.2
138,30.2
139,30.2
140,30.2
141,30.2
142,30.2
143,30.2
144,30.2
145,30.2
146,30.2
147,30.2
148,30.2
149,30.2
150,30.2
151,30.2
152,30.2
153,30.2
154,30.2
155,30.2
156,30.2
157,30.2
158,30.2
159,30.2
160,30.2
161,30.2
162,30.2
163,30.2
164,30.2
165,30.2
166,30.2
167,30.2
168,30.2
169,30.2
170,30.2
171,30.2
172,30.2
173,30.2
174,30.2
175,30.2
176,30.2
177,30.2
178,30.2
179,30.2
180,30.2
181,30.2
182,30.2
183,30.2
184,30.2
185,30.2
186,30.2
187,30.2
188,30.2
189,30.2
190,30.2
191,30.2
192,30.2
193,30.2
194,30.2
195,30.2
196,30.2
197,30.2
198,30.2
199,30.2
200,30.2
201,30.2
202,30.2
203,30.2
204,30.2
205,30.2
206,30.2
207,30.2
208,30.2
209,30.2
210,30.2
211,30.2
212,30.2
213,30.2
214,30.2
215,30.2
216,30.2
217,30.2
218,30.2
219,30.2
220,30.2
221,30.2
222,30.2
223,30.2
224,30.2
225,30.2
226,30.2
227,30.2
228,30.2
229,30.2
230,30.2
231,30.2
232,30.2
233,30.2
234,30.2
235,30.2
236,30.2
237,30.2
238,30.2
239,30.2
240,30.2
241,30.2
242,30.2
243,30.2
244,30.2
245,30.2
246,30.2
247,30.2
248,30.2
249,30.2
