RoundNumber,RoomHumidity
0,10.2
1,44.58016568130774
2,58.993925326148755
3,65.21846592922435
4,39.41855705246201
5,56.96610658057776
6,64.18479068413171
7,39.55105514788035
8,56.757278300019294
9,63.991305137083906
10,39.159652454863924
11,55.928912293964075
12,35.998982466088165
13,54.50727812788014
14,35.85774398905928
15,55.08798658823746
16,64.36080293654112
17,39.60409166384602
18,54.959329869119756
19,37.004721647002796
20,53.02142258300678
21,36.653479040492876
22,53.6385894390974
23,36.67294128555526
24,53.15128245002044
25,39.036906762305094
26,51.472182138606705
27,38.27031655740388
28,51.346641565363065
29,38.33077852280519
