RoundNumber,HumiditySensorMeasuredRoomHumidity
0,10.2
1,44.50803238970585
2,58.89914683782892
3,36.66779897168684
4,27.03061097036634
5,23.29155836646923
6,49.55816452295174
7,61.82562234140932
8,66.65015265037363
9,68.09304239054686
10,69.3481019973391
11,40.82398893698492
12,28.924700025607947
13,23.412316363733233
14,21.871739883884057
15,21.224858417860762
16,20.67755031729934
17,20.55947805855505
18,20.656312655399205
19,19.85210173294108
20,19.546197893239015
21,19.86245071944248
22,20.32444432046861
23,19.937138215637006
24,19.866724070779135
25,19.677853475376953
26,19.703364463656914
27,19.55817532552364
28,19.864757555198803
29,19.732979522031776
30,20.383221473636162
31,20.576024038466457
32,20.353163749695828
33,19.69047926636266
34,19.740887763232948
35,19.71213677904211
36,20.02487299017068
37,19.690104350028165
38,19.525727680455198
39,19.827348763856786
40,19.468907408808267
41,20.038796976917844
42,19.87848642714182
43,20.24550925250395
44,19.653076487706503
45,20.093211866441347
46,19.711615011811624
47,19.538045674596777
48,20.12235518629955
49,19.68765222355715
50,19.49170345726948
51,19.71363819652299
52,19.453507840443816
53,19.33365664012975
54,19.95055157699405
55,19.638961096664776
56,20.03229085291766
57,20.409489506740105
58,20.1441949771773
59,20.042181151525675
60,20.389911787565634
61,20.541501968031067
62,20.688752243021288
63,20.759042245688466
64,20.512495270286706
65,19.82207498956284
66,19.63262328211967
67,19.716422995049896
68,20.324694364390474
69,20.105972013500764
70,19.719947525390474
71,19.42121649220227
72,19.567695963928347
73,19.36179384535638
74,19.485839120674168
75,19.688748301323756
76,19.598213113735408
77,19.67893963511215
78,19.856097059648643
79,20.16323255320562
80,19.669982276830716
81,20.14220698401597
82,19.699574609958656
83,19.381491391709222
84,19.689557720915104
85,20.06760036508637
86,20.423776876759707
87,19.870337261434486
88,19.69788448198561
89,19.98562779770448
90,20.06032342377499
91,19.784545068493763
92,20.324641886703375
93,19.852603650099944
94,20.410988378039733
95,19.850591751108784
96,19.789625820248748
97,19.59231363633327
98,19.881727031854453
99,20.106424804845155
