RoundNumber,RoomHumidity
0,10.2
1,44.5441621735143
2,58.94463456889617
3,36.70746665814151
4,55.485420208112686
5,35.714307706678085
6,54.728935462429064
7,35.64212822004399
8,55.0865082460807
9,34.8684488369647
10,54.752052747658624
11,34.86842539252986
12,54.69138745560893
13,34.96455337446409
14,54.95883180607721
15,35.913680922180774
16,55.0077181417032
17,35.82836030776684
18,55.171621915518045
19,35.250646777602896
20,54.071574447081964
21,35.35373075600139
22,54.82606317884793
23,37.16725947781568
24,53.38326559498823
25,36.48118558664434
26,53.03107002940859
27,36.280364260657564
28,53.15377442941763
29,36.442592602895125
