RoundNumber,Dehumidifier
0,0
1,0
2,1
3,0
4,1
5,0
6,1
7,0
8,1
9,1
10,0
11,1
12,0
13,0
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,0
25,0
26,1
27,1
28,0
29,0
30,1
31,1
32,0
33,0
34,1
35,1
36,0
37,0
38,1
39,1
40,0
41,0
42,1
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,1
51,1
52,0
53,0
54,1
55,1
56,0
57,0
58,1
59,1
60,0
61,0
62,1
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,1
71,0
72,1
73,1
74,0
75,1
76,1
77,0
78,1
79,1
80,0
81,1
82,1
83,0
84,1
85,1
86,0
87,1
88,1
89,0
90,1
91,1
92,0
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,1
101,0
102,1
103,1
104,0
105,1
106,1
107,0
108,1
109,1
110,0
111,1
112,1
113,0
114,1
115,1
116,0
117,1
118,1
119,0
120,1
121,1
122,0
123,1
124,1
125,0
126,0
127,1
128,0
129,1
130,1
131,0
132,1
133,0
134,0
135,1
136,0
137,1
138,1
139,0
140,1
141,0
142,0
143,1
144,1
145,0
146,1
147,0
148,0
149,1
150,1
151,0
152,1
153,0
154,0
155,1
156,0
157,0
158,1
159,1
160,0
161,0
162,1
163,1
164,0
165,0
166,1
167,1
168,0
169,0
170,1
171,1
172,0
173,0
174,1
175,1
176,0
177,0
178,1
179,1
180,0
181,0
182,1
183,1
184,0
185,0
186,1
187,1
188,0
189,0
190,1
191,1
192,0
193,0
194,1
195,1
196,0
197,0
198,1
199,1
200,0
201,0
202,1
203,1
204,0
205,0
206,1
207,1
208,0
209,0
210,1
211,1
212,0
213,0
214,1
215,1
216,0
217,0
218,1
219,1
220,0
221,0
222,1
223,1
224,0
225,0
226,1
227,1
228,0
229,0
230,1
231,1
232,0
233,0
234,1
235,1
236,0
237,0
238,1
239,1
240,0
241,0
242,1
243,1
244,0
245,0
246,0
247,1
248,1
249,1
