RoundNumber,OfficeHumidityUpperLimit
0,50.0
1,50.0
2,50
3,50.0
4,50.0
5,50.0
6,50.0
7,50.0
8,50
9,50
10,50.0
11,50.0
12,50.0
13,50
14,50.0
15,50.0
16,50
17,50
18,50.0
19,50.0
20,50
21,50
22,50.0
23,50
24,50.0
25,50
26,50.0
27,50
28,50.0
29,50
30,50.0
31,50
32,50.0
33,50
34,50.0
35,50
36,50.0
37,50
38,50.0
39,50
40,50.0
41,50
42,50.0
43,50
44,50.0
45,50
46,50.0
47,50
48,50.0
49,50
50,50.0
51,50
52,50.0
53,50
54,50.0
55,50
56,50.0
57,50
58,50.0
59,50
60,50.0
61,50
62,50.0
63,50.0
64,50
65,50.0
66,50
67,50.0
68,50
69,50.0
70,50
71,50.0
72,50.0
73,50
74,50.0
75,50.0
76,50
77,50.0
78,50.0
79,50
80,50.0
81,50.0
82,50
83,50.0
84,50.0
85,50
86,50.0
87,50.0
88,50
89,50.0
90,50.0
91,50
92,50.0
93,50.0
94,50
95,50.0
96,50.0
97,50
98,50.0
99,50.0
100,50
101,50.0
102,50.0
103,50
104,50.0
105,50.0
106,50
107,50.0
108,50.0
109,50
110,50.0
111,50.0
112,50
113,50.0
114,50.0
115,50
116,50.0
117,50.0
118,50
119,50.0
120,50.0
121,50
122,50.0
123,50.0
124,50
125,50.0
126,50
127,50.0
128,50.0
129,50.0
130,50
131,50.0
132,50.0
133,50.0
134,50
135,50.0
136,50.0
137,50.0
138,50
139,50.0
140,50.0
141,50.0
142,50
143,50.0
144,50
145,50.0
146,50.0
147,50.0
148,50
149,50.0
150,50
151,50.0
152,50.0
153,50.0
154,50
155,50.0
156,50.0
157,50
158,50.0
159,50.0
160,50
161,50
162,50.0
163,50
164,50.0
165,50
166,50.0
167,50
168,50.0
169,50
170,50.0
171,50
172,50.0
173,50
174,50.0
175,50
176,50.0
177,50
178,50.0
179,50
180,50.0
181,50
182,50.0
183,50
184,50.0
185,50
186,50.0
187,50
188,50.0
189,50
190,50.0
191,50
192,50.0
193,50
194,50.0
195,50
196,50.0
197,50
198,50.0
199,50
200,50.0
201,50.0
202,50
203,50
204,50.0
205,50
206,50.0
207,50
208,50.0
209,50
210,50.0
211,50.0
212,50
213,50
214,50.0
215,50
216,50.0
217,50
218,50.0
219,50
220,50.0
221,50
222,50.0
223,50
224,50.0
225,50
226,50.0
227,50
228,50.0
229,50
230,50.0
231,50
232,50.0
233,50
234,50.0
235,50
236,50.0
237,50
238,50.0
239,50
240,50.0
241,50
242,50.0
243,50
244,50
245,50
246,50
247,50.0
248,50.0
249,50
