RoundNumber,Matching_Case_Found
0,False
1,False
2,False
3,False
4,False
5,False
6,False
7,False
8,False
9,True
10,False
11,False
12,False
13,True
14,False
15,False
16,False
17,True
18,False
19,False
20,False
21,True
22,False
23,True
24,False
25,True
26,False
27,True
28,False
29,True
30,False
31,True
32,False
33,True
34,False
35,True
36,False
37,True
38,False
39,True
40,False
41,True
42,False
43,True
44,False
45,True
46,False
47,True
48,False
49,True
50,False
51,True
52,False
53,True
54,False
55,True
56,False
57,True
58,False
59,True
60,False
61,True
62,False
63,False
64,True
65,False
66,True
67,False
68,True
69,False
70,True
71,False
72,False
73,True
74,False
75,False
76,True
77,False
78,False
79,True
80,False
81,False
82,True
83,False
84,False
85,True
86,False
87,False
88,True
89,False
90,False
91,True
92,False
93,False
94,True
95,False
96,False
97,True
98,False
99,False
100,True
101,False
102,False
103,True
104,False
105,False
106,True
107,False
108,False
109,True
110,False
111,False
112,True
113,False
114,False
115,True
116,False
117,False
118,True
119,False
120,False
121,True
122,False
123,False
124,True
125,False
126,True
127,False
128,False
129,False
130,True
131,False
132,False
133,False
134,True
135,False
136,False
137,False
138,True
139,False
140,False
141,False
142,True
143,False
144,True
145,False
146,False
147,False
148,True
149,False
150,True
151,False
152,False
153,False
154,True
155,False
156,False
157,True
158,False
159,False
160,False
161,True
162,False
163,True
164,False
165,True
166,False
167,True
168,False
169,True
170,False
171,True
172,False
173,True
174,False
175,True
176,False
177,True
178,False
179,True
180,False
181,True
182,False
183,True
184,False
185,True
186,False
187,True
188,False
189,True
190,False
191,True
192,False
193,True
194,False
195,True
196,False
197,True
198,False
199,True
200,False
201,False
202,False
203,True
204,False
205,True
206,False
207,True
208,False
209,True
210,False
211,False
212,False
213,True
214,False
215,True
216,False
217,True
218,False
219,True
220,False
221,True
222,False
223,True
224,False
225,True
226,False
227,True
228,False
229,True
230,False
231,True
232,False
233,True
234,False
235,True
236,False
237,True
238,False
239,True
240,False
241,True
242,False
243,True
244,False
245,True
246,True
247,False
248,False
249,True
