RoundNumber,OfficeHumidityLowerLimit
0,30.0
1,30.0
2,30
3,30.0
4,30.0
5,30.0
6,30.0
7,30.0
8,30
9,30
10,30.0
11,30.0
12,30.0
13,30
14,30.0
15,30.0
16,30
17,30
18,30.0
19,30.0
20,30
21,30
22,30.0
23,30
24,30.0
25,30
26,30.0
27,30
28,30.0
29,30
30,30.0
31,30
32,30.0
33,30
34,30.0
35,30
36,30.0
37,30
38,30.0
39,30
40,30.0
41,30
42,30.0
43,30
44,30.0
45,30
46,30.0
47,30
48,30.0
49,30
50,30.0
51,30
52,30.0
53,30
54,30.0
55,30
56,30.0
57,30
58,30.0
59,30
60,30.0
61,30
62,30.0
63,30.0
64,30
65,30.0
66,30
67,30.0
68,30
69,30.0
70,30
71,30.0
72,30.0
73,30
74,30.0
75,30.0
76,30
77,30.0
78,30.0
79,30
80,30.0
81,30.0
82,30
83,30.0
84,30.0
85,30
86,30.0
87,30.0
88,30
89,30.0
90,30.0
91,30
92,30.0
93,30.0
94,30
95,30.0
96,30.0
97,30
98,30.0
99,30.0
100,30
101,30.0
102,30.0
103,30
104,30.0
105,30.0
106,30
107,30.0
108,30.0
109,30
110,30.0
111,30.0
112,30
113,30.0
114,30.0
115,30
116,30.0
117,30.0
118,30
119,30.0
120,30.0
121,30
122,30.0
123,30.0
124,30
125,30.0
126,30
127,30.0
128,30.0
129,30.0
130,30
131,30.0
132,30.0
133,30.0
134,30
135,30.0
136,30.0
137,30.0
138,30
139,30.0
140,30.0
141,30.0
142,30
143,30.0
144,30
145,30.0
146,30.0
147,30.0
148,30
149,30.0
150,30
151,30.0
152,30.0
153,30.0
154,30
155,30.0
156,30.0
157,30
158,30.0
159,30.0
160,30
161,30
162,30.0
163,30
164,30.0
165,30
166,30.0
167,30
168,30.0
169,30
170,30.0
171,30
172,30.0
173,30
174,30.0
175,30
176,30.0
177,30
178,30.0
179,30
180,30.0
181,30
182,30.0
183,30
184,30.0
185,30
186,30.0
187,30
188,30.0
189,30
190,30.0
191,30
192,30.0
193,30
194,30.0
195,30
196,30.0
197,30
198,30.0
199,30
200,30.0
201,30.0
202,30
203,30
204,30.0
205,30
206,30.0
207,30
208,30.0
209,30
210,30.0
211,30.0
212,30
213,30
214,30.0
215,30
216,30.0
217,30
218,30.0
219,30
220,30.0
221,30
222,30.0
223,30
224,30.0
225,30
226,30.0
227,30
228,30.0
229,30
230,30.0
231,30
232,30.0
233,30
234,30.0
235,30
236,30.0
237,30
238,30.0
239,30
240,30.0
241,30
242,30.0
243,30
244,30
245,30
246,30
247,30.0
248,30.0
249,30
