RoundNumber,OfficeTemperatureLowerLimit
0,18.0
1,18.0
2,18.0
3,18.0
4,18.0
5,18.0
6,18.0
7,18.0
8,18.0
9,18.0
10,18.0
11,18.0
12,18.0
13,18.0
14,18.0
15,18.0
16,18.0
17,18.0
18,18.0
19,18.0
20,18.0
21,18.0
22,18.0
23,18.0
24,18.0
25,18.0
26,18.0
27,18.0
28,18.0
29,18.0
30,18.0
31,18.0
32,18.0
33,18.0
34,18.0
35,18.0
36,18.0
37,18.0
38,18.0
39,18.0
40,18.0
41,18.0
42,18.0
43,18.0
44,18.0
45,18.0
46,18.0
47,18.0
48,18.0
49,18.0
50,18.0
51,18.0
52,18.0
53,18.0
54,18.0
55,18.0
56,18.0
57,18.0
58,18.0
59,18.0
60,18.0
61,18.0
62,18.0
63,18.0
64,18.0
65,18.0
66,18.0
67,18.0
68,18.0
69,18.0
70,18.0
71,18.0
72,18.0
73,18.0
74,18.0
75,18.0
76,18.0
77,18.0
78,18.0
79,18.0
80,18.0
81,18.0
82,18.0
83,18.0
84,18.0
85,18.0
86,18.0
87,18.0
88,18.0
89,18.0
90,18.0
91,18.0
92,18.0
93,18.0
94,18.0
95,18.0
96,18.0
97,18.0
98,18.0
99,18.0
100,18.0
101,18.0
102,18.0
103,18.0
104,18.0
105,18.0
106,18.0
107,18.0
108,18.0
109,18.0
110,18.0
111,18.0
112,18.0
113,18.0
114,18.0
115,18.0
116,18.0
117,18.0
118,18.0
119,18.0
120,18.0
121,18.0
122,18.0
123,18.0
124,18.0
125,18.0
126,18.0
127,18.0
128,18.0
129,18.0
130,18.0
131,18.0
132,18.0
133,18.0
134,18.0
135,18.0
136,18.0
137,18.0
138,18.0
139,18.0
140,18.0
141,18.0
142,18.0
143,18.0
144,18.0
145,18.0
146,18.0
147,18.0
148,18.0
149,18.0
150,18.0
151,18.0
152,18.0
153,18.0
154,18.0
155,18.0
156,18.0
157,18.0
158,18.0
159,18.0
160,18.0
161,18.0
162,18.0
163,18.0
164,18.0
165,18.0
166,18.0
167,18.0
168,18.0
169,18.0
170,18.0
171,18.0
172,18.0
173,18.0
174,18
175,18.0
176,18
177,18
178,18.0
179,18
180,18
181,18.0
182,18.0
183,18
184,18.0
185,18
186,18
187,18
188,18.0
189,18
190,18.0
191,18
192,18.0
193,18
194,18.0
195,18
196,18
197,18
198,18
199,18
200,18.0
201,18
202,18
203,18
204,18.0
205,18
206,18.0
207,18.0
208,18.0
209,18.0
210,18
211,18.0
212,18.0
213,18
214,18.0
215,18.0
216,18.0
217,18
218,18.0
219,18.0
220,18.0
221,18
222,18
223,18.0
224,18
225,18.0
226,18.0
227,18.0
228,18.0
229,18
230,18
231,18
232,18.0
233,18.0
234,18
235,18.0
236,18.0
237,18
238,18.0
239,18.0
240,18.0
241,18.0
242,18
243,18.0
244,18.0
245,18
246,18.0
247,18.0
248,18
249,18.0
