RoundNumber,RoomTemperatureLowerLimit1
0,27.5
1,27.5
2,27.5
3,27.5
4,27.5
5,27.5
6,27.5
7,27.5
8,27.5
9,27.5
10,27.5
11,27.5
12,27.5
13,27.5
14,27.5
15,27.5
16,27.5
17,27.5
18,27.5
19,27.5
20,27.5
21,27.5
22,27.5
23,27.5
24,27.5
25,27.5
26,27.5
27,27.5
28,27.5
29,27.5
30,27.5
31,27.5
32,27.5
33,27.5
34,27.5
35,27.5
36,27.5
37,27.5
38,27.5
39,27.5
40,27.5
41,27.5
42,27.5
43,27.5
44,27.5
45,27.5
46,27.5
47,27.5
48,27.5
49,27.5
50,27.5
51,27.5
52,27.5
53,27.5
54,27.5
55,27.5
56,27.5
57,27.5
58,27.5
59,27.5
60,27.5
61,27.5
62,27.5
63,27.5
64,27.5
65,27.5
66,27.5
67,27.5
68,27.5
69,27.5
70,27.5
71,27.5
72,27.5
73,27.5
74,27.5
75,27.5
76,27.5
77,27.5
78,27.5
79,27.5
80,27.5
81,27.5
82,27.5
83,27.5
84,27.5
85,27.5
86,27.5
87,27.5
88,27.5
89,27.5
90,27.5
91,27.5
92,27.5
93,27.5
94,27.5
95,27.5
96,27.5
97,27.5
98,27.5
99,27.5
100,27.5
101,27.5
102,27.5
103,27.5
104,27.5
105,27.5
106,27.5
107,27.5
108,27.5
109,27.5
110,27.5
111,27.5
112,27.5
113,27.5
114,27.5
115,27.5
116,27.5
117,27.5
118,27.5
119,27.5
120,27.5
121,27.5
122,27.5
123,27.5
124,27.5
125,27.5
126,27.5
127,27.5
128,27.5
129,27.5
130,27.5
131,27.5
132,27.5
133,27.5
134,27.5
135,27.5
136,27.5
137,27.5
138,27.5
139,27.5
140,27.5
141,27.5
142,27.5
143,27.5
144,27.5
145,27.5
146,27.5
147,27.5
148,27.5
149,27.5
150,27.5
151,27.5
152,27.5
153,27.5
154,27.5
155,27.5
156,27.5
157,27.5
158,27.5
159,27.5
160,27.5
161,27.5
162,27.5
163,27.5
164,27.5
165,27.5
166,27.5
167,27.5
168,27.5
169,27.5
170,27.5
171,27.5
172,27.5
173,27.5
174,27.5
175,27.5
176,27.5
177,27.5
178,27.5
179,27.5
180,27.5
181,27.5
182,27.5
183,27.5
184,27.5
185,27.5
186,27.5
187,27.5
188,27.5
189,27.5
190,27.5
191,27.5
192,27.5
193,27.5
194,27.5
195,27.5
196,27.5
197,27.5
198,27.5
199,27.5
200,27.5
201,27.5
202,27.5
203,27.5
204,27.5
205,27.5
206,27.5
207,27.5
208,27.5
209,27.5
210,27.5
211,27.5
212,27.5
213,27.5
214,27.5
215,27.5
216,27.5
217,27.5
218,27.5
219,27.5
220,27.5
221,27.5
222,27.5
223,27.5
224,27.5
225,27.5
226,27.5
227,27.5
228,27.5
229,27.5
230,27.5
231,27.5
232,27.5
233,27.5
234,27.5
235,27.5
236,27.5
237,27.5
238,27.5
239,27.5
240,27.5
241,27.5
242,27.5
243,27.5
244,27.5
245,27.5
246,27.5
247,27.5
248,27.5
249,27.5
