RoundNumber,TemperatureSensor2MeasuredRoomTemperature
0,27.7
1,18.87597629796768
2,19.372608456541307
3,18.80921579807433
4,19.271548742893685
5,19.16694215669437
6,19.27746501912412
7,18.762508709651296
8,18.64088896755364
9,19.06958454777681
10,18.81731894125389
11,19.13008067675936
12,18.96078276601563
13,18.825374036215912
14,18.578818687008354
15,18.92030374922481
16,18.600617284671024
17,18.567823858907396
18,18.607184257679133
19,18.800873410214496
20,18.56999019986355
21,19.05336759852841
22,19.27217658179047
23,18.77438344291777
24,19.201273553607418
25,18.972335621600845
26,19.19170208117434
27,19.48081104497392
28,19.005530252023817
29,18.706672401415247
