RoundNumber,RoomHumidity
0,10.2
1,44.47936354558904
2,58.86686305165604
3,65.12814981622243
4,67.86370791963985
5,69.39123830604342
6,69.40833534210228
7,70.23832769009279
8,70.21490052111037
9,69.60301861042065
10,69.98693555709161
11,69.58712297357236
12,69.97483301335828
13,69.64471554488523
14,70.285958368102
15,70.55933726789189
16,70.4002038634723
17,70.44467724211239
18,70.61004946894526
19,69.83537595783336
20,69.5384504448729
21,69.85708256924298
22,70.32152341962278
23,69.9374706140432
24,69.86655542554159
25,69.67711163869552
26,69.70135801303161
27,69.55572536309549
28,69.86127252841953
29,69.73072953476861
30,70.38070858023772
31,70.57727868955219
32,70.35725324254483
33,69.69440904324466
34,69.74057071565814
35,69.71030337139847
36,70.0221495991725
37,69.68912712528262
38,69.52313376343609
39,69.8228351110746
40,69.46572424914575
41,70.03341179317277
42,69.87651656621135
43,70.24370693248731
44,69.6543085928737
45,70.09087378429568
46,69.7114120172915
47,69.5354633273664
48,70.1171986909443
49,69.68657263450372
50,69.4884186878046
51,69.70754210530525
52,69.44823017058152
53,69.32616811412552
54,69.94084960484618
55,69.63438475176423
56,70.02665657131799
57,70.40745767933308
58,70.14767769506354
59,70.04519852318923
60,70.39164715255365
61,70.54661607861826
62,70.69710488760639
63,70.77061650902841
64,70.52640102088995
65,69.83415580217074
66,69.63548198611396
67,69.71301422997259
68,70.31964114293358
69,70.10806085921314
70,69.72222540351783
71,69.41842187752408
72,69.55866254155434
73,69.35202162812729
74,69.47273678739043
75,69.67590034035389
76,69.58830943964912
77,69.66882719334365
78,69.84700559625158
79,70.15722048486873
80,69.6700139052086
81,70.1369926434543
82,69.69968308283725
83,69.37663103937997
84,69.67728726040404
85,70.05725245456145
86,70.42061501801123
87,69.87631482157641
88,69.69812023723448
89,69.98040901528469
90,70.0578943912707
91,69.78462196824847
92,70.32074648225097
93,69.85695279644204
94,70.41006246862065
95,69.8579527109277
96,69.78983061852676
97,69.58834672281068
98,69.87214557178147
99,70.10012854711995
