RoundNumber,Matching_Case_Found
0,False
1,False
2,False
3,False
4,False
5,False
6,False
7,False
8,False
9,True
10,False
11,True
12,True
13,True
14,True
15,True
16,True
17,True
18,True
19,True
20,True
21,True
22,False
23,True
24,False
25,True
26,False
27,True
28,True
29,True
30,False
31,True
32,False
33,True
34,False
35,True
36,True
37,False
38,True
39,True
40,True
41,True
42,True
43,True
44,False
45,True
46,False
47,True
48,False
49,True
50,True
51,True
52,True
53,True
54,True
55,True
56,True
57,True
58,False
59,True
60,True
61,True
62,False
63,True
64,True
65,True
66,True
67,True
68,True
69,True
70,True
71,True
72,False
73,True
74,True
75,True
76,True
77,False
78,True
79,False
80,True
81,True
82,True
83,False
84,True
85,True
86,True
87,True
88,True
89,True
90,True
91,True
92,True
93,True
94,True
95,True
96,True
97,True
98,True
99,True
