RoundNumber,HumiditySensorMeasuredRoomHumidity
0,10.2
1,44.53932443974426
2,58.93203760655889
3,65.17424284582384
4,67.89637291283492
5,69.41121817866187
6,69.41937398018187
7,70.24561091474973
8,70.21706349444533
9,69.60307764504472
10,69.98858799967107
11,69.58787244224234
12,69.97696343690507
13,69.64572502390149
14,70.28809452917208
15,70.55880648688253
16,70.39695883778454
17,70.44104679849352
18,70.60592654380392
19,69.8299517437255
20,69.537211975534
21,69.85951349743891
22,70.3234799562947
23,69.93611678347395
24,69.86642249037067
25,69.67799597012934
26,69.704049803574
27,69.55906213018837
28,69.86604600610418
29,69.73378832565966
30,70.38411870901156
31,70.57560073153881
32,70.35178411424833
33,69.68913698124459
34,69.74102352496183
35,69.71276565813764
36,70.02575908282623
37,69.69041715443201
38,69.52654525914515
39,69.82873588094284
40,69.46985914247784
41,70.0403289900087
42,69.8790302777698
43,70.2460027851489
44,69.65270940493701
45,70.09387004805589
46,69.71166694850555
47,69.53873546930774
48,70.12375786456674
49,69.68792096981626
50,69.49263402126245
51,69.71530768632248
52,69.45491715390527
53,69.33563686381225
54,69.95306202321592
55,69.64010936045997
56,70.03365151018343
57,70.40996346340016
58,70.14332091211199
59,70.04145041705584
60,70.38951248251317
61,70.54040899961119
62,70.68702078298918
63,70.75674067892447
64,70.50977478267747
65,69.81979421548048
66,69.63210676980248
67,69.71706753716563
68,70.32559951706244
69,70.10559192704801
70,69.71956434921579
71,69.42168335234565
72,69.56916595206133
73,69.36332956873977
74,69.48781564290935
75,69.6906404439043
76,69.59965945844486
77,69.68037988258106
78,69.85734527039814
79,70.16402540329844
80,69.66994642388217
81,70.14287009965396
82,69.69955048379369
83,69.382077221851
84,69.69100958029672
85,70.06879541192693
86,70.42412193238717
87,69.86966160066108
88,69.69785620555412
89,69.98616764079073
90,70.06056412099697
91,69.78453365510461
92,70.32503286572035
93,69.85219183922594
94,70.41110440282192
95,69.84989995318574
96,69.78961714920163
97,69.59268942328583
98,69.88264891205486
99,70.10701743287906
