RoundNumber,OfficeTemperatureLowerLimit
0,18.0
1,18.0
2,18
3,18.0
4,18.0
5,18.0
6,18.0
7,18.0
8,18
9,18
10,18.0
11,18.0
12,18.0
13,18
14,18.0
15,18.0
16,18
17,18
18,18.0
19,18.0
20,18
21,18
22,18.0
23,18
24,18.0
25,18
26,18.0
27,18
28,18.0
29,18
30,18.0
31,18
32,18.0
33,18
34,18.0
35,18
36,18.0
37,18
38,18.0
39,18
40,18.0
41,18
42,18.0
43,18
44,18.0
45,18
46,18.0
47,18
48,18.0
49,18
50,18.0
51,18
52,18.0
53,18
54,18.0
55,18
56,18.0
57,18
58,18.0
59,18
60,18.0
61,18
62,18.0
63,18
64,18.0
65,18
66,18.0
67,18
68,18.0
69,18
70,18.0
71,18
72,18.0
73,18.0
74,18
75,18.0
76,18.0
77,18
78,18.0
79,18.0
80,18
81,18.0
82,18.0
83,18
84,18.0
85,18.0
86,18
87,18.0
88,18.0
89,18
90,18.0
91,18.0
92,18
93,18.0
94,18.0
95,18
96,18.0
97,18.0
98,18
99,18.0
