RoundNumber,OfficeTemperatureUpperLimit
0,22.0
1,22.0
2,22
3,22.0
4,22.0
5,22.0
6,22.0
7,22.0
8,22
9,22
10,22.0
11,22.0
12,22.0
13,22
14,22.0
15,22.0
16,22
17,22
18,22.0
19,22.0
20,22
21,22
22,22.0
23,22
24,22.0
25,22
26,22.0
27,22
28,22.0
29,22
30,22.0
31,22
32,22.0
33,22
34,22.0
35,22
36,22.0
37,22
38,22.0
39,22
40,22.0
41,22
42,22.0
43,22
44,22.0
45,22
46,22.0
47,22
48,22.0
49,22
50,22.0
51,22
52,22.0
53,22
54,22.0
55,22
56,22.0
57,22
58,22.0
59,22
60,22.0
61,22
62,22.0
63,22
64,22.0
65,22
66,22.0
67,22
68,22.0
69,22
70,22.0
71,22
72,22.0
73,22.0
74,22
75,22.0
76,22.0
77,22
78,22.0
79,22.0
80,22
81,22.0
82,22.0
83,22
84,22.0
85,22.0
86,22
87,22.0
88,22.0
89,22
90,22.0
91,22.0
92,22
93,22.0
94,22.0
95,22
96,22.0
97,22.0
98,22
99,22.0
