RoundNumber,HumiditySensorMeasuredRoomHumidity
0,10.2
1,44.71703423628684
2,59.19200050984409
3,65.49643974826627
4,39.62693387520929
5,56.71472465543882
6,64.47444338666106
7,39.852770629176874
8,54.75782005576655
9,62.9570917892947
10,67.1267229767919
11,42.26715715212929
12,53.17995403397919
13,62.42215139184712
14,67.17788500906181
15,45.791361763363206
16,51.75825102443312
17,62.430408149365036
18,46.68049339530157
19,51.527952380607545
20,61.66453579807235
21,66.46803231326133
22,51.665900717579206
23,46.99007196231632
24,59.997911821091236
25,65.43233309963566
26,58.34180677510334
27,45.68194144409324
28,59.59157955850816
29,60.26940412727876
